_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Rcmag;Icmag;DeltaRc;Per;Age;IcFile;RcFile
010.932100;+41.197000;010.9321;+41.1970;20.48;19.98; 0.27; 7.459;75;lc/iv1.dat ;lc/rv1.dat
010.846900;+41.173700;010.8469;+41.1737;20.17;19.69; 0.15; 8.566;69;lc/iv2.dat ;lc/rv2.dat
010.866900;+41.232000;010.8669;+41.2320;20.61;20.28; 0.22; 8.836;68;lc/iv3.dat ;lc/rv3.dat
010.936600;+41.250300;010.9366;+41.2503;20.28;19.54; 0.11; 9.160;67;lc/iv4.dat ;lc/rv4.dat
010.972100;+41.212800;010.9721;+41.2128;20.56;20.04; 0.19; 9.790;64;lc/iv5.dat ;lc/rv5.dat
010.877000;+41.060100;010.8770;+41.0601;20.43;19.76; 0.15;10.383;62;lc/iv6.dat ;lc/rv6.dat
010.873600;+41.236700;010.8736;+41.2367;20.42;20.27; 0.28;10.500;61;lc/iv7.dat ;lc/rv7.dat
010.750000;+41.142600;010.7500;+41.1426;19.89;19.55; 0.17;11.170;59;lc/iv8.dat ;lc/rv8.dat
010.859400;+41.200400;010.8594;+41.2004;20.21;19.60; 0.26;13.773;52;lc/iv9.dat ;lc/rv9.dat
010.929000;+41.171500;010.9290;+41.1715;20.77;19.84; 0.48;14.420;51;lc/iv10.dat;lc/rv10.dat
010.925500;+41.248900;010.9255;+41.2489;19.57;18.87; 0.16;15.260;49;lc/iv11.dat;lc/rv11.dat
010.957600;+41.222700;010.9576;+41.2227;20.84;20.08; 0.32;15.460;49;lc/iv12.dat;lc/rv12.dat
010.825900;+41.138600;010.8259;+41.1386;19.82;19.46; 0.40;15.760;48;lc/iv13.dat;lc/rv13.dat
010.904900;+41.241900;010.9049;+41.2419;19.93;19.58; 0.22;15.900;48;lc/iv14.dat;lc/rv14.dat
010.911500;+41.239600;010.9115;+41.2396;20.79;19.91; 0.30;15.950;48;lc/iv15.dat;lc/rv15.dat
010.977500;+41.234800;010.9775;+41.2348;20.28;19.74; 0.40;16.380;47;lc/iv16.dat;lc/rv16.dat
010.906900;+41.186800;010.9069;+41.1868;20.12;19.60; 0.39;16.600;47;lc/iv17.dat;lc/rv17.dat
010.985300;+41.217600;010.9853;+41.2176;19.47;19.09; 0.21;17.730;45;lc/iv18.dat;lc/rv18.dat
010.983900;+41.237400;010.9839;+41.2374;19.83;19.60; 0.32;17.830;45;lc/iv19.dat;lc/rv19.dat
010.952600;+41.154000;010.9526;+41.1540;19.20;18.99; 0.35;20.090;42;lc/iv20.dat;lc/rv20.dat
010.837900;+41.151400;010.8379;+41.1514;19.74;19.31; 0.39;21.440;40;lc/iv21.dat;lc/rv21.dat
010.827200;+41.107100;010.8272;+41.1071;20.01;19.19; 0.29;26.990;35;lc/iv22.dat;lc/rv22.dat
010.905900;+41.237900;010.9059;+41.2379;19.78;18.92; 0.34;28.780;33;lc/iv23.dat;lc/rv23.dat
010.900200;+41.182300;010.9002;+41.1823;20.55;19.57; 0.23;35.120;30;lc/iv24.dat;lc/rv24.dat
010.929300;+41.247500;010.9293;+41.2475;18.89;18.35; 0.31;43.530;26;lc/iv25.dat;lc/rv25.dat
010.918300;+41.185600;010.9183;+41.1856;19.36;18.82; 0.22;56.020;22;lc/iv26.dat;lc/rv26.dat

